time_ms,relative_alt_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4087,0.06,0.57,3.42,8.34,-0.17,0.06,0.21
4143,0.13,0.05,3.49,8.42,0.13,0.14,0.37
4195,0.07,-0.11,2.61,9.76,0.47,0.05,0.33
4242,0.11,-0.42,4.49,9.34,-0.02,-0.50,0.18
4289,0.17,0.16,3.24,8.17,-1.17,0.39,-0.08
4336,0.18,0.06,2.26,8.03,-0.21,0.12,-0.27
4383,0.15,0.14,3.10,8.03,0.42,0.20,-0.12
4431,0.13,0.04,3.13,9.11,0.48,0.19,0.03
4477,0.04,-0.27,3.61,9.63,-0.08,0.27,-0.08
4524,0.06,0.51,3.37,9.44,-0.25,-0.19,-0.23
4571,0.16,0.40,3.25,9.09,-0.36,0.06,0.06
4621,0.07,-0.41,3.42,8.78,-0.44,0.17,0.19
4676,0.14,-0.43,2.80,8.34,-0.37,0.31,-0.01
4729,0.12,-0.21,2.50,8.80,0.34,-0.09,-0.06
4776,0.05,-0.23,2.99,9.15,0.17,-0.02,0.13
4823,0.05,-0.61,2.91,9.46,-0.13,-0.12,0.07
4870,0.08,-0.62,3.26,8.88,-0.35,0.00,-0.16
4917,0.10,0.10,3.06,8.46,-0.11,0.08,-0.37
4963,0.10,0.33,3.02,9.02,0.24,0.06,0.00
5010,0.07,0.11,3.30,9.39,0.07,0.04,0.20
5057,0.05,-0.56,3.14,9.13,-0.29,0.06,0.20
5104,0.08,-0.52,2.62,8.91,-0.25,0.03,0.02
5151,0.03,-0.41,3.04,8.48,-0.16,-0.07,-0.09
5209,0.03,0.20,2.81,8.88,0.17,-0.05,-0.12
5261,0.03,0.16,3.00,9.07,0.26,-0.05,0.09
5307,0.05,-0.26,3.00,9.25,-0.19,-0.08,0.17
5354,0.10,-0.47,3.03,8.92,-0.34,0.08,-0.05
5401,0.09,-0.27,2.49,8.92,-0.05,0.02,-0.17
5448,0.01,-0.49,2.86,9.81,0.16,-0.26,-0.22
5495,-0.08,-0.13,3.51,9.50,-0.34,-0.21,-0.44
5543,-0.03,0.67,3.14,8.48,-0.69,0.01,-0.27
5590,-0.08,-0.10,2.15,8.29,-0.30,0.13,0.18
5637,0.03,-0.35,2.18,8.45,0.23,0.01,0.06
5684,-0.03,-0.23,2.71,8.63,0.33,-0.12,-0.10
5741,-0.04,0.35,2.86,9.22,0.01,0.04,-0.12
5793,-0.07,0.25,2.51,9.24,-0.14,0.10,0.06
5841,0.02,-0.03,2.32,9.16,0.05,0.06,0.07
5888,0.12,-0.02,2.89,9.33,0.27,-0.02,-0.09
5935,0.00,-0.17,3.26,9.55,-0.06,-0.10,0.03
5982,-0.03,-0.17,2.76,9.06,-0.41,-0.02,-0.03
6029,-0.03,-0.30,2.54,8.50,-0.22,0.04,-0.03
6076,-0.05,-0.11,2.66,8.32,0.06,0.06,-0.07
6123,0.03,-0.08,2.59,9.03,0.15,0.04,0.04
6170,0.05,-0.24,2.81,9.47,-0.10,0.02,0.07
6217,0.02,-0.11,2.68,9.43,-0.19,0.11,-0.10
6272,0.04,0.14,2.66,9.12,-0.05,0.02,-0.09
6326,-0.01,0.13,2.58,9.46,-0.24,-0.06,0.02
6374,0.03,0.42,2.62,9.83,-0.38,0.01,0.08
6421,-0.01,0.63,2.49,9.84,-0.34,-0.18,0.13
6468,0.02,0.45,2.13,9.91,-0.53,-0.09,0.34
6515,-0.02,1.23,1.96,10.83,-0.62,-0.16,0.38
6563,-0.03,0.61,1.57,10.84,-1.18,-0.20,0.67
6610,0.07,-0.12,1.02,9.95,-1.76,-0.03,0.37
6657,-0.01,0.55,-0.59,8.81,-1.24,-0.23,0.23
6705,0.14,0.36,-0.31,8.67,-0.42,-0.24,0.38
6752,0.11,0.39,-0.59,8.80,-0.56,0.04,0.48
6808,0.13,0.45,-1.53,8.76,-0.62,0.07,0.40
6860,0.20,1.54,-0.44,9.75,-0.05,-0.22,0.36
6911,0.20,2.69,-0.81,11.50,-0.74,-0.32,0.84
6958,0.23,1.26,-0.96,10.46,-2.39,0.93,1.53
7005,0.26,-1.06,-2.30,7.32,-2.02,0.54,1.30
7052,0.35,-1.23,-0.48,6.01,-0.98,-0.06,0.15
7099,0.35,0.64,-1.30,6.08,0.19,-0.38,-0.52
7146,0.45,1.62,-2.26,7.38,1.26,0.11,0.12
7193,0.44,4.43,-1.83,15.92,-2.88,1.18,1.13
7239,0.43,-1.20,-2.70,6.84,-2.45,-0.48,0.15
7285,0.34,5.40,-4.95,3.37,0.01,1.50,0.90
7339,0.33,-1.92,-4.24,10.89,0.85,3.78,2.25
7390,0.38,-4.53,-3.69,5.46,-0.29,-1.82,2.33
7435,0.31,-1.65,-5.99,7.27,-0.12,-0.03,-1.09
7483,0.28,-0.09,2.80,7.64,0.48,0.40,0.81
7529,0.39,-4.66,-3.38,10.30,-1.35,0.20,1.25
7574,0.41,-0.43,-2.43,6.48,0.10,-0.26,1.07
7619,0.47,-3.11,-6.63,9.15,-0.52,0.31,0.56
7665,0.44,-3.59,-7.39,6.78,0.10,-0.68,-1.34
7710,0.20,-1.39,-4.68,8.43,0.31,0.24,-0.58
7756,0.28,-2.38,-3.57,6.36,-0.14,-0.06,-0.29
7802,0.29,-0.15,-2.18,6.22,-0.41,0.28,-0.75
7856,0.28,-2.87,-3.51,9.09,-0.69,0.19,-0.18
7906,0.27,-2.22,-5.59,9.75,-0.41,0.20,-0.01
7952,0.20,-2.49,-4.67,8.36,-0.41,-0.30,-0.30
8000,0.12,-1.23,-3.86,7.44,-0.43,-0.17,-0.11
8045,0.11,-0.99,-4.01,7.68,-0.64,-0.01,0.07
8091,0.07,-2.24,-3.56,8.36,-1.43,-0.73,-0.41
8136,0.10,-0.44,-3.27,7.24,-1.86,-0.93,-0.21
8182,0.05,0.62,-5.88,4.05,-2.06,-1.97,-0.16
8228,-0.01,4.71,-9.28,1.46,-0.81,-0.46,-0.30
8273,-0.10,0.23,-11.88,5.50,0.57,1.17,-0.22
8319,-0.12,-4.00,-7.06,9.69,1.84,-0.74,-0.01
8372,-0.09,0.00,-7.40,6.65,-0.40,-1.54,-0.86
8423,-0.22,-0.29,-5.18,5.90,0.12,0.83,0.87
8468,-0.29,-1.15,-7.32,5.43,-0.81,0.62,0.56
8516,-0.30,-1.51,-6.20,8.49,0.01,-0.80,-0.36
8561,-0.35,1.71,-8.53,6.26,-0.64,-0.65,-0.41
8607,-0.36,1.06,-7.59,7.61,0.69,1.28,-0.43
8652,-0.35,1.70,-6.44,6.46,-0.45,-0.52,-0.03
8699,-0.30,0.57,-7.05,6.85,0.08,-0.40,-0.64
8744,-0.39,-0.03,-4.48,7.41,-0.65,-0.95,-0.77
8790,-0.43,3.14,-8.69,6.44,0.25,-0.77,-0.05
8835,-0.38,1.32,-7.07,6.97,0.91,1.30,0.10
8889,-0.31,1.80,-9.88,6.19,0.89,-0.46,0.27
8939,-0.33,-0.72,-3.64,6.66,-2.22,-1.54,-0.50
8984,-0.33,5.12,-8.59,2.86,0.19,-1.25,-0.95
9030,-0.37,-0.56,-5.43,9.93,-0.45,1.57,0.76
9078,-0.36,2.77,-6.19,6.34,-0.11,0.20,-0.39
9124,-0.41,2.82,-8.32,6.06,-0.02,-0.06,-0.23
9170,-0.36,1.43,-8.46,5.35,0.09,-0.63,-0.07
9215,-0.42,3.73,-7.82,6.34,0.18,0.03,-0.01
9261,-0.37,1.02,-3.41,6.68,1.36,0.39,1.01
9306,-0.36,2.98,-6.98,7.35,0.51,-1.46,0.56
9351,-0.37,3.54,-5.66,7.14,0.21,1.12,0.97
9405,-0.41,1.67,-5.71,7.57,-0.43,0.14,0.21
9455,-0.44,1.58,-7.98,8.67,-0.79,-0.42,0.26
9501,-0.44,2.00,-5.34,5.31,-0.37,0.46,0.02
9546,-0.45,0.87,-8.42,7.10,-0.22,1.71,0.62
9595,-0.48,-0.19,-6.67,4.44,-0.53,-0.85,0.45
9641,-0.48,-0.60,-7.71,7.05,-0.12,0.74,0.34
9686,-0.54,-0.49,-5.94,4.74,0.60,1.57,0.20
9732,-0.51,-1.53,-7.96,8.70,1.20,1.88,-0.31
9777,-0.45,-1.03,-8.81,4.84,-0.63,-0.70,0.22
9823,-0.44,-0.45,-6.73,6.36,0.12,-0.43,-0.17
9868,-0.35,-0.74,-6.62,7.64,-1.05,0.08,0.70
9922,-0.33,0.62,-5.23,7.36,-0.77,-0.84,0.70
9972,-0.28,-3.04,-9.82,4.29,0.07,-0.44,-0.39
10019,-0.38,-0.16,-7.59,6.41,-0.36,-0.69,-0.73
10064,-0.41,0.90,-8.35,4.86,-0.49,-0.59,-0.74
10112,-0.49,2.41,-7.13,7.12,-0.65,0.15,-0.22
10158,-0.47,-0.79,-9.11,5.97,-0.62,0.79,-0.53
10204,-0.53,0.98,-5.16,7.37,-0.21,-0.40,-0.49
10249,-0.50,2.44,-8.63,3.66,-1.43,-0.42,-0.30
10295,-0.54,2.48,-7.08,3.32,0.63,0.45,0.39
10340,-0.52,0.73,-7.57,4.62,1.61,2.15,1.19
10386,-0.53,-4.19,-6.11,9.22,0.83,1.56,0.34
10440,-0.57,-0.52,-8.02,5.71,-0.59,-2.61,-0.74
10492,-0.57,2.19,-7.06,5.50,0.20,0.63,0.34
10537,-0.51,0.04,-7.97,5.60,-0.15,-0.26,-0.10
10583,-0.57,1.45,-8.13,5.09,0.19,0.57,0.38
10628,-0.55,-1.10,-7.55,6.61,-0.00,0.37,0.39
10677,-0.54,-0.89,-7.76,6.91,-0.02,0.33,0.08
10723,-0.56,0.17,-7.41,5.74,-0.34,-0.73,-0.59
10768,-0.54,1.60,-7.26,5.30,0.12,0.14,0.17
